 id,Group,Name,rows,cols,entries
2172,JGD_Relat,rel3,12,5,18
2012,JGD_Homology,ch4-4-b3,24,96,96
1742,Meszaros,p0040,23,63,133
72,HB,bcsstm22,138,138,138
232,HB,pores_1,30,30,180
1482,Pajek,GD02_b,80,80,232
462,Grund,d_dyn,87,87,238
262,HB,west0067,67,67,294
872,Pothen,mesh1e1,48,48,306
172,HB,impcol_b,59,59,312
132,HB,dwt_66,66,66,320
1492,Pajek,GD97_a,84,84,332
712,LPnetlib,lpi_ex72a,197,215,467
2762,Mycielski,mycielskian6,47,47,472
192,HB,lnsp_131,131,131,536
2142,JGD_Kocay,Trec8,23,84,549
102,HB,can_61,61,61,557
1782,Meszaros,zed,116,142,666
2072,JGD_Homology,mk9-b1,378,36,756
682,LPnetlib,lp_share2b,96,162,777
162,HB,gre_185,185,185,1005
142,HB,fs_183_3,183,183,1069
2022,JGD_Homology,ch7-6-b1,630,42,1260
2092,JGD_Homology,n3c5-b4,252,210,1260
1712,Meszaros,gams30a,354,531,1287
1112,Sandia,oscil_dcop_01,430,430,1544
1122,Sandia,oscil_dcop_11,430,430,1544
1132,Sandia,oscil_dcop_21,430,430,1544
1142,Sandia,oscil_dcop_31,430,430,1544
1152,Sandia,oscil_dcop_41,430,430,1544
1162,Sandia,oscil_dcop_51,430,430,1544
2,HB,494_bus,494,494,1666
202,HB,lshp_265,265,265,1753
12,HB,ash958,958,292,1916
1982,JGD_GL6,GL6_D_10,163,341,2053
2392,Newman,celegansneural,297,297,2345
122,HB,dwt_310,310,310,2448
1172,MathWorks,Harvard500,500,500,2636
212,HB,mcca,180,180,2659
1732,Meszaros,nemsafm,334,2348,2826
2362,Rommes,M20PI_n,1182,1182,2881
1722,Meszaros,model1,362,798,3028
42,HB,bcsstk20,485,485,3135
472,Gset,G12,800,800,3200
692,LPnetlib,lp_standata,359,1274,3230
222,HB,nos6,675,675,3255
82,HB,bp_0,822,822,3276
602,LPnetlib,lp_beaconfd,173,295,3408
292,Bai,bfwa398,398,398,3678
242,HB,sherman1,1000,1000,3750
2552,Schulthess,N_biocarta,1922,1996,4335
1922,JGD_BIBD,bibd_11_5,55,462,4620
302,Bai,cdde3,961,961,4681
2752,VDOL,tumorAntiAngiogenesis_5,460,460,4690
1522,Pajek,SmaGri,1059,1059,4919
722,LPnetlib,lpi_klein2,477,531,5062
2872,ML_Graph,iris_dataset_30NN,150,150,5518
632,LPnetlib,lp_grow15,300,645,5620
1062,Sandia,fpga_dcop_08,1220,1220,5888
1072,Sandia,fpga_dcop_18,1220,1220,5892
1082,Sandia,fpga_dcop_28,1220,1220,5892
1092,Sandia,fpga_dcop_38,1220,1220,5892
1102,Sandia,fpga_dcop_48,1220,1220,5892
152,HB,fs_760_1,760,760,5976
622,LPnetlib,lp_fffff800,524,1028,6401
62,HB,bcsstm07,420,420,7252
662,LPnetlib,lp_qap8,912,1632,7296
2722,VDOL,reorientation_1,677,677,7326
382,DRIVCAV,cavity03,317,317,7327
272,HB,west2021,2021,2021,7353
1832,Meszaros,scrs8-2b,1820,3499,7367
182,HB,jagmesh7,1138,1138,7450
1532,Pajek,WorldCities,315,100,7518
2192,JGD_SL6,D_10,460,816,7614
2182,JGD_Relat,relat6,2340,157,8108
672,LPnetlib,lp_scfxm3,990,1800,8206
1442,Oberwolfach,rail_1357,1357,1357,8985
482,Gset,G21,800,800,9334
642,LPnetlib,lp_maros,846,1966,10137
2372,Rommes,S80PI_n,4182,4182,10261
112,HB,dwt_1242,1242,1242,10426
1822,Meszaros,plddb,3069,5049,10839
992,Sandia,adder_dcop_09,1813,1813,11239
1002,Sandia,adder_dcop_19,1813,1813,11245
1012,Sandia,adder_dcop_29,1813,1813,11246
1022,Sandia,adder_dcop_39,1813,1813,11246
1032,Sandia,adder_dcop_49,1813,1813,11246
1042,Sandia,adder_dcop_59,1813,1813,11246
1052,Sandia,adder_dcop_69,1813,1813,11246
512,Gset,G49,3000,3000,12000
1632,Bai,rdb2048_noL,2048,2048,12032
92,HB,can_1072,1072,1072,12444
2562,CPM,cz1268,1268,1268,12786
1942,JGD_CAG,CAG_mat364,364,364,13585
252,HB,steam2,600,600,13760
2112,JGD_Homology,n4c5-b4,2852,1350,14260
1932,JGD_BIBD,bibd_17_4,136,2380,14280
2692,VDOL,hangGlider_2,1647,1647,14754
2422,AG-Monien,ukerbe1,5981,5981,15704
1512,Pajek,ODLIS,2909,2909,18246
2402,Newman,polblogs,1490,1490,19025
2742,VDOL,spaceStation_9,1180,1180,19674
322,Bai,olm5000,5000,5000,19996
1792,Meszaros,stoch_aircraft,3754,7517,20267
2062,JGD_Homology,mk11-b2,6930,990,20790
22,HB,bcspwr10,5300,5300,21842
32,HB,bcsstk10,1086,1086,22070
1802,Meszaros,deter8,3831,10905,22299
2412,AG-Monien,airfoil1_dual,8034,8034,23626
422,FIDAP,ex25,848,848,24612
2882,ML_Graph,plantsmargin_12NN,1600,1600,25482
2312,SNAP,p2p-Gnutella09,8114,8114,26013
282,HB,zenios,2873,2873,27191
2862,ML_Graph,dataset16mfeatkarhunen_10NN,2000,2000,27668
2732,VDOL,spaceShuttleEntry_3,1834,1834,28757
332,Bai,rdb5000,5000,5000,29600
2102,JGD_Homology,n3c6-b5,5005,3003,30030
2522,DIMACS10,data,2851,2851,30186
1542,Schenk_IBMNA,c-23,3969,3969,31079
2082,JGD_Homology,n2c6-b7,3990,5715,31920
2252,Priebel,162bit,3606,3597,37118
702,LPnetlib,lp_woodw,1098,8418,37487
2672,VDOL,dynamicSoaringProblem_8,3543,3543,38136
