./MM/Boeing/pwtk/pwtk.mtx,217918,217918,11634424,47.957000,0.061944,375.643291,3.702000,0.050088,464.559336
./MM/Freescale/FullChip/FullChip.mtx,2987012,2987012,26621990,215.147000,0.199164,267.337370,3.992000,0.154403,344.837730
./MM/Andrianov/mip1/mip1.mtx,66463,66463,10352819,22.018000,0.061883,334.593313,3.697000,0.041163,503.015767
./MM/Williams/mc2depi/mc2depi.mtx,525825,525825,2100225,3.759000,0.008692,483.254717,3.807000,0.015587,269.484186
./MM/Williams/webbase-1M/webbase-1M.mtx,1000005,1000005,3105536,15.213000,0.034715,178.916088,3.889000,0.021527,288.524736
./MM/Freescale/circuit5M/circuit5M.mtx,5558326,5558326,59524291,268.416000,0.318326,373.983218,3.788000,0.329264,361.559666
./MM/PARSEC/Si41Ge41H72/Si41Ge41H72.mtx,185639,185639,15011265,49.446000,0.116006,258.801528,3.721000,0.058990,508.942702
./MM/PARSEC/Ga41As41H72/Ga41As41H72.mtx,268096,268096,18488476,59.092000,0.083550,442.572735,3.767000,0.070700,523.012051
./MM/LAW/in-2004/in-2004.mtx,1382908,1382908,16917053,99.694000,0.166670,203.000576,3.871000,0.071618,472.424614
./MM/LAW/eu-2005/eu-2005.mtx,862664,862664,19235140,122.979000,0.160148,240.217049,3.890000,0.077474,496.557297
./MM/DNVS/shipsec1/shipsec1.mtx,140874,140874,7813404,33.988000,0.043566,358.692742,3.732000,0.036425,429.013260
./MM/Williams/mac_econ_fwd500/mac_econ_fwd500.mtx,206500,206500,1273389,10.370000,0.012465,204.314320,3.633000,0.010903,233.585068
./MM/Hamm/scircuit/scircuit.mtx,170998,170998,958936,7.174000,0.035259,54.393829,4.339000,0.009579,200.216307
./MM/Williams/pdb1HYS/pdb1HYS.mtx,36417,36417,4344765,21.059000,0.027660,314.155098,3.732000,0.022282,389.979804
./MM/Williams/consph/consph.mtx,83334,83334,6010480,24.732000,0.034247,351.007680,3.733000,0.029665,405.223664
./MM/Williams/cant/cant.mtx,62451,62451,4007383,20.333000,0.028187,284.342640,3.659000,0.021094,379.954774
./MM/Williams/cop20k_A/cop20k_A.mtx,121192,121192,2624331,15.607000,0.017066,307.550803,3.676000,0.045512,115.324793
./MM/IBM_EDA/dc2/dc2.mtx,116835,116835,766396,4.461000,0.019605,78.183729,3.681000,0.008504,180.243650
./MM/Bova/rma10/rma10.mtx,46835,46835,2374001,12.975000,0.011708,405.534848,3.843000,0.013263,357.988540
./MM/QCD/conf5_4-8x8-10/conf5_4-8x8-10.mtx,49152,49152,1916928,8.124000,0.007401,518.018646,3.713000,0.012091,317.083451
./MM/Sandia/ASIC_680k/ASIC_680k.mtx,682862,682862,3871773,14.154000,0.075744,102.233127,3.862000,0.024968,310.138818
