./MM/Boeing/pwtk/pwtk.mtx,217918,217918,11634424,48.434000,0.101806,228.560674,21.402000,0.101470,229.317513,40.717000,0.102173,227.739696
./MM/Freescale/FullChip/FullChip.mtx,2987012,2987012,26621990,255.031000,0.346123,153.829650,21.452000,0.302186,176.196051,250.428000,0.331697,160.519932
./MM/Andrianov/mip1/mip1.mtx,66463,66463,10352819,26.572000,0.098722,209.736817,22.886000,0.082056,252.335454,34.291000,0.080905,255.925320
./MM/Williams/mc2depi/mc2depi.mtx,525825,525825,2100225,4.430000,0.018977,221.344259,21.707000,0.029983,140.094387,25.158000,0.029935,140.319025
./MM/Williams/webbase-1M/webbase-1M.mtx,1000005,1000005,3105536,14.893000,0.046017,134.973423,24.335000,0.037125,167.301603,42.867000,0.038229,162.470167
./MM/Freescale/circuit5M/circuit5M.mtx,5558326,5558326,59524291,320.559000,0.664805,179.072934,21.562000,0.685663,173.625501,332.433000,0.705734,168.687610
./MM/PARSEC/Si41Ge41H72/Si41Ge41H72.mtx,185639,185639,15011265,50.524000,0.173011,173.529602,21.448000,0.121535,247.027852,55.696000,0.119664,250.890243
./MM/PARSEC/Ga41As41H72/Ga41As41H72.mtx,268096,268096,18488476,62.490000,0.164474,224.819437,23.814000,0.148999,248.169129,69.295000,0.144919,255.155997
./MM/LAW/in-2004/in-2004.mtx,1382908,1382908,16917053,108.342000,0.220153,153.684510,21.541000,0.178414,189.638179,118.803000,0.166759,202.892234
./MM/LAW/eu-2005/eu-2005.mtx,862664,862664,19235140,123.009000,0.203993,188.586275,21.611000,0.186127,206.688336,108.708000,0.163203,235.720422
./MM/DNVS/shipsec1/shipsec1.mtx,140874,140874,7813404,33.758000,0.074074,210.962119,23.421000,0.071027,220.012221,29.803000,0.071682,218.001841
./MM/Williams/mac_econ_fwd500/mac_econ_fwd500.mtx,206500,206500,1273389,8.425000,0.015787,161.321214,23.926000,0.016558,153.809518,16.570000,0.019075,133.513919
./MM/Hamm/scircuit/scircuit.mtx,170998,170998,958936,5.905000,0.033813,56.719960,22.160000,0.014811,129.489704,12.686000,0.015703,122.134115
./MM/Williams/pdb1HYS/pdb1HYS.mtx,36417,36417,4344765,19.059000,0.041460,209.588278,21.344000,0.042553,204.204874,16.277000,0.041859,207.590482
./MM/Williams/consph/consph.mtx,83334,83334,6010480,24.760000,0.062410,192.612722,23.728000,0.057586,208.747960,22.212000,0.057585,208.751585
./MM/Williams/cant/cant.mtx,62451,62451,4007383,23.196000,0.038618,207.539645,23.649000,0.040635,197.237997,17.433000,0.038516,208.089262
./MM/Williams/cop20k_A/cop20k_A.mtx,121192,121192,2624331,15.842000,0.032423,161.880825,24.137000,0.100024,52.474026,17.502000,0.027204,192.937142
./MM/IBM_EDA/dc2/dc2.mtx,116835,116835,766396,3.606000,0.021283,72.019546,21.524000,0.012199,125.648988,9.099000,0.013357,114.755709
./MM/Bova/rma10/rma10.mtx,46835,46835,2374001,11.255000,0.023485,202.171684,24.219000,0.023111,205.443382,14.232000,0.023533,201.759317
./MM/QCD/conf5_4-8x8-10/conf5_4-8x8-10.mtx,49152,49152,1916928,7.640000,0.017437,219.869014,21.474000,0.018658,205.480545,11.116000,0.018618,205.922011
./MM/Sandia/ASIC_680k/ASIC_680k.mtx,682862,682862,3871773,14.558000,0.088068,87.926897,23.705000,0.044032,175.861782,32.786000,0.044798,172.854726
